doctor_id,work_date,hours_booked
DR2001,2026-01-16,9.76
DR2001,2026-01-17,8.69
DR2001,2026-01-18,4.34
DR2001,2026-01-19,6.62
DR2001,2026-01-20,8.39
DR2001,2026-01-21,8.07
DR2001,2026-01-22,6.75
DR2001,2026-01-23,8.57
DR2001,2026-01-24,9.71
DR2001,2026-01-25,5.01
DR2001,2026-01-26,9.63
DR2001,2026-01-27,9.32
DR2001,2026-01-28,4.72
DR2001,2026-01-29,8.46
DR2001,2026-01-30,9.41
DR2001,2026-01-31,6.77
DR2001,2026-02-01,7.79
DR2001,2026-02-02,4.93
DR2001,2026-02-03,7.25
DR2001,2026-02-04,9.28
DR2002,2025-11-06,7.03
DR2002,2025-11-07,4.9
DR2002,2025-11-08,3.97
DR2002,2025-11-09,6.35
DR2002,2025-11-10,6.82
DR2002,2025-11-11,4.77
DR2002,2025-11-12,3.76
DR2002,2025-11-13,5.36
DR2002,2025-11-14,4.38
DR2002,2025-11-15,7.87
DR2002,2025-11-16,3.93
DR2002,2025-11-17,3.58
DR2002,2025-11-18,7.29
DR2002,2025-11-19,6.53
DR2002,2025-11-20,7.72
DR2002,2025-11-21,3.51
DR2002,2025-11-22,5.34
DR2002,2025-11-23,6.26
DR2002,2025-11-24,4.8
DR2002,2025-11-25,5.08
DR2002,2025-11-26,5.41
DR2002,2025-11-27,4.61
DR2002,2025-11-28,4.39
DR2002,2025-11-29,3.74
DR2002,2025-11-30,7.47
DR2002,2025-12-01,5.38
DR2002,2025-12-02,4.66
DR2002,2025-12-03,4.63
DR2002,2025-12-04,6.52
DR2002,2025-12-05,6.99
DR2002,2025-12-06,6.99
DR2002,2025-12-07,5.91
DR2002,2025-12-08,3.4
DR2002,2025-12-09,6.6
DR2002,2025-12-10,7.76
DR2002,2025-12-11,6.56
DR2002,2025-12-12,5.54
DR2002,2025-12-13,5.56
DR2002,2025-12-14,7.5
DR2002,2025-12-15,6.75
DR2002,2025-12-16,5.67
DR2002,2025-12-17,4.33
DR2002,2025-12-18,7.09
DR2002,2025-12-19,7.89
DR2002,2025-12-20,7.92
DR2002,2025-12-21,5.96
DR2002,2025-12-22,3.85
DR2002,2025-12-23,6.44
DR2002,2025-12-24,6.71
DR2002,2025-12-25,7.9
DR2002,2025-12-26,3.25
DR2002,2025-12-27,4.23
DR2002,2025-12-28,4.65
DR2002,2025-12-29,7.51
DR2002,2025-12-30,5.5
DR2002,2025-12-31,7.87
DR2002,2026-01-01,6.94
DR2002,2026-01-02,6.59
DR2002,2026-01-03,6.99
DR2002,2026-01-04,3.29
DR2002,2026-01-05,7.08
DR2002,2026-01-06,6.16
DR2002,2026-01-07,4.13
DR2002,2026-01-08,6.93
DR2002,2026-01-09,4.3
DR2002,2026-01-10,7.73
DR2002,2026-01-11,7.69
DR2002,2026-01-12,4.11
DR2002,2026-01-13,4.97
DR2002,2026-01-14,4.19
DR2002,2026-01-15,7.17
DR2002,2026-01-16,4.4
DR2002,2026-01-17,6.73
DR2002,2026-01-18,3.72
DR2002,2026-01-19,7.67
DR2002,2026-01-20,5.94
DR2002,2026-01-21,7.02
DR2002,2026-01-22,3.34
DR2002,2026-01-23,6.92
DR2002,2026-01-24,5.84
DR2002,2026-01-25,5.67
DR2002,2026-01-26,7.32
DR2002,2026-01-27,7.56
DR2002,2026-01-28,5.82
DR2002,2026-01-29,6.9
DR2002,2026-01-30,5.8
DR2002,2026-01-31,6.57
DR2002,2026-02-01,5.91
DR2002,2026-02-02,7.95
DR2002,2026-02-03,5.42
DR2002,2026-02-04,3.86
DR2003,2025-11-06,4.05
DR2003,2025-11-07,6.0
DR2003,2025-11-08,7.4
DR2003,2025-11-09,5.51
DR2003,2025-11-10,3.39
DR2003,2025-11-11,6.03
DR2003,2025-11-12,7.55
DR2003,2025-11-13,4.33
DR2003,2025-11-14,7.05
DR2003,2025-11-15,6.38
DR2003,2025-11-16,7.25
DR2003,2025-11-17,5.1
DR2003,2025-11-18,7.4
DR2003,2025-11-19,3.65
DR2003,2025-11-20,3.39
DR2003,2025-11-21,4.06
DR2003,2025-11-22,4.53
DR2003,2025-11-23,5.26
DR2003,2025-11-24,5.41
DR2003,2025-11-25,5.19
DR2003,2025-11-26,4.14
DR2003,2025-11-27,3.39
DR2003,2025-11-28,4.27
DR2003,2025-11-29,3.51
DR2003,2025-11-30,5.06
DR2003,2025-12-01,3.52
DR2003,2025-12-02,5.94
DR2003,2025-12-03,4.44
DR2003,2025-12-04,5.09
DR2003,2025-12-05,3.39
DR2003,2025-12-06,6.32
DR2003,2025-12-07,6.55
DR2003,2025-12-08,7.76
DR2003,2025-12-09,6.8
DR2003,2025-12-10,7.26
DR2003,2025-12-11,7.13
DR2003,2025-12-12,4.51
DR2003,2025-12-13,4.52
DR2003,2025-12-14,3.51
DR2003,2025-12-15,5.82
DR2003,2025-12-16,3.59
DR2003,2025-12-17,3.71
DR2003,2025-12-18,4.46
DR2003,2025-12-19,4.0
DR2003,2025-12-20,6.94
DR2003,2025-12-21,4.04
DR2003,2025-12-22,4.8
DR2003,2025-12-23,5.4
DR2003,2025-12-24,3.27
DR2003,2025-12-25,3.69
DR2003,2025-12-26,5.62
DR2003,2025-12-27,3.42
DR2003,2025-12-28,5.57
DR2003,2025-12-29,4.82
DR2003,2025-12-30,4.65
DR2003,2025-12-31,7.3
DR2003,2026-01-01,3.28
DR2003,2026-01-02,3.97
DR2003,2026-01-03,6.71
DR2003,2026-01-04,7.65
DR2003,2026-01-05,7.64
DR2003,2026-01-06,4.06
DR2003,2026-01-07,6.52
DR2003,2026-01-08,7.19
DR2003,2026-01-09,3.96
DR2003,2026-01-10,6.5
DR2003,2026-01-11,7.24
DR2003,2026-01-12,4.01
DR2003,2026-01-13,6.94
DR2003,2026-01-14,6.7
DR2003,2026-01-15,7.68
DR2003,2026-01-16,6.4
DR2003,2026-01-17,4.36
DR2003,2026-01-18,7.35
DR2003,2026-01-19,6.57
DR2003,2026-01-20,4.26
DR2003,2026-01-21,3.53
DR2003,2026-01-22,5.05
DR2003,2026-01-23,7.8
DR2003,2026-01-24,4.32
DR2003,2026-01-25,3.96
DR2003,2026-01-26,5.42
DR2003,2026-01-27,6.83
DR2003,2026-01-28,7.01
DR2003,2026-01-29,5.31
DR2003,2026-01-30,5.43
DR2003,2026-01-31,5.44
DR2003,2026-02-01,6.34
DR2003,2026-02-02,5.64
DR2003,2026-02-03,4.52
DR2003,2026-02-04,3.33
DR2004,2025-11-06,4.11
DR2004,2025-11-07,7.64
DR2004,2025-11-08,7.77
DR2004,2025-11-09,7.61
DR2004,2025-11-10,4.79
DR2004,2025-11-11,7.55
DR2004,2025-11-12,4.57
DR2004,2025-11-13,6.85
DR2004,2025-11-14,3.49
DR2004,2025-11-15,5.03
DR2004,2025-11-16,5.78
DR2004,2025-11-17,4.45
DR2004,2025-11-18,6.3
DR2004,2025-11-19,7.78
DR2004,2025-11-20,6.95
DR2004,2025-11-21,6.06
DR2004,2025-11-22,5.55
DR2004,2025-11-23,5.25
DR2004,2025-11-24,4.59
DR2004,2025-11-25,7.89
DR2004,2025-11-26,6.99
DR2004,2025-11-27,6.15
DR2004,2025-11-28,5.91
DR2004,2025-11-29,6.86
DR2004,2025-11-30,5.51
DR2004,2025-12-01,4.13
DR2004,2025-12-02,6.89
DR2004,2025-12-03,4.76
DR2004,2025-12-04,6.83
DR2004,2025-12-05,6.07
DR2004,2025-12-06,7.59
DR2004,2025-12-07,7.95
DR2004,2025-12-08,7.57
DR2004,2025-12-09,3.61
DR2004,2025-12-10,3.26
DR2004,2025-12-11,3.35
DR2004,2025-12-12,7.28
DR2004,2025-12-13,5.46
DR2004,2025-12-14,4.33
DR2004,2025-12-15,7.41
DR2004,2025-12-16,7.96
DR2004,2025-12-17,5.69
DR2004,2025-12-18,7.91
DR2004,2025-12-19,6.72
DR2004,2025-12-20,4.18
DR2004,2025-12-21,6.27
DR2004,2025-12-22,3.54
DR2004,2025-12-23,5.79
DR2004,2025-12-24,6.46
DR2004,2025-12-25,3.43
DR2004,2025-12-26,7.58
DR2004,2025-12-27,4.09
DR2004,2025-12-28,3.47
DR2004,2025-12-29,5.67
DR2004,2025-12-30,6.2
DR2004,2025-12-31,4.31
DR2004,2026-01-01,6.44
DR2004,2026-01-02,3.97
DR2004,2026-01-03,7.87
DR2004,2026-01-04,4.44
DR2004,2026-01-05,4.6
DR2004,2026-01-06,4.97
DR2004,2026-01-07,6.37
DR2004,2026-01-08,4.88
DR2004,2026-01-09,7.85
DR2004,2026-01-10,6.89
DR2004,2026-01-11,7.58
DR2004,2026-01-12,7.75
DR2004,2026-01-13,5.33
DR2004,2026-01-14,7.59
DR2004,2026-01-15,6.6
DR2004,2026-01-16,7.21
DR2004,2026-01-17,4.59
DR2004,2026-01-18,7.03
DR2004,2026-01-19,7.12
DR2004,2026-01-20,6.7
DR2004,2026-01-21,5.41
DR2004,2026-01-22,7.11
DR2004,2026-01-23,5.39
DR2004,2026-01-24,3.31
DR2004,2026-01-25,7.64
DR2004,2026-01-26,5.88
DR2004,2026-01-27,5.36
DR2004,2026-01-28,6.9
DR2004,2026-01-29,6.78
DR2004,2026-01-30,3.8
DR2004,2026-01-31,3.23
DR2004,2026-02-01,6.9
DR2004,2026-02-02,3.78
DR2004,2026-02-03,5.47
DR2004,2026-02-04,6.12
DR2005,2025-11-06,5.75
DR2005,2025-11-07,3.99
DR2005,2025-11-08,5.37
DR2005,2025-11-09,3.61
DR2005,2025-11-10,5.89
DR2005,2025-11-11,4.72
DR2005,2025-11-12,6.66
DR2005,2025-11-13,7.31
DR2005,2025-11-14,7.23
DR2005,2025-11-15,4.18
DR2005,2025-11-16,3.34
DR2005,2025-11-17,5.56
DR2005,2025-11-18,7.33
DR2005,2025-11-19,5.57
DR2005,2025-11-20,3.34
DR2005,2025-11-21,3.54
DR2005,2025-11-22,5.6
DR2005,2025-11-23,3.57
DR2005,2025-11-24,7.74
DR2005,2025-11-25,7.72
DR2005,2025-11-26,7.51
DR2005,2025-11-27,4.24
DR2005,2025-11-28,7.03
DR2005,2025-11-29,7.83
DR2005,2025-11-30,6.98
DR2005,2025-12-01,3.74
DR2005,2025-12-02,5.28
DR2005,2025-12-03,3.56
DR2005,2025-12-04,4.03
DR2005,2025-12-05,7.54
DR2005,2025-12-06,4.02
DR2005,2025-12-07,6.61
DR2005,2025-12-08,6.83
DR2005,2025-12-09,6.73
DR2005,2025-12-10,6.12
DR2005,2025-12-11,4.12
DR2005,2025-12-12,5.21
DR2005,2025-12-13,7.03
DR2005,2025-12-14,6.91
DR2005,2025-12-15,7.35
DR2005,2025-12-16,4.59
DR2005,2025-12-17,5.54
DR2005,2025-12-18,4.08
DR2005,2025-12-19,5.8
DR2005,2025-12-20,7.44
DR2005,2025-12-21,5.6
DR2005,2025-12-22,3.33
DR2005,2025-12-23,7.49
DR2005,2025-12-24,7.36
DR2005,2025-12-25,4.9
DR2005,2025-12-26,6.55
DR2005,2025-12-27,3.48
DR2005,2025-12-28,4.47
DR2005,2025-12-29,4.09
DR2005,2025-12-30,5.9
DR2005,2025-12-31,3.53
DR2005,2026-01-01,3.95
DR2005,2026-01-02,6.86
DR2005,2026-01-03,3.76
DR2005,2026-01-04,4.6
DR2005,2026-01-05,7.59
DR2005,2026-01-06,5.11
DR2005,2026-01-07,5.21
DR2005,2026-01-08,7.58
DR2005,2026-01-09,6.37
DR2005,2026-01-10,5.66
DR2005,2026-01-11,3.32
DR2005,2026-01-12,7.86
DR2005,2026-01-13,5.55
DR2005,2026-01-14,6.06
DR2005,2026-01-15,4.48
DR2005,2026-01-16,6.15
DR2005,2026-01-17,4.24
DR2005,2026-01-18,7.96
DR2005,2026-01-19,4.88
DR2005,2026-01-20,4.22
DR2005,2026-01-21,5.2
DR2005,2026-01-22,7.47
DR2005,2026-01-23,5.77
DR2005,2026-01-24,7.05
DR2005,2026-01-25,5.75
DR2005,2026-01-26,4.65
DR2005,2026-01-27,6.33
DR2005,2026-01-28,6.62
DR2005,2026-01-29,6.73
DR2005,2026-01-30,5.57
DR2005,2026-01-31,6.15
DR2005,2026-02-01,8.0
DR2005,2026-02-02,3.68
DR2005,2026-02-03,4.59
DR2005,2026-02-04,4.77
DR2006,2025-11-06,6.19
DR2006,2025-11-07,3.21
DR2006,2025-11-08,6.66
DR2006,2025-11-09,4.5
DR2006,2025-11-10,6.18
DR2006,2025-11-11,5.25
DR2006,2025-11-12,4.4
DR2006,2025-11-13,5.66
DR2006,2025-11-14,3.64
DR2006,2025-11-15,5.94
DR2006,2025-11-16,3.39
DR2006,2025-11-17,7.69
DR2006,2025-11-18,5.79
DR2006,2025-11-19,6.82
DR2006,2025-11-20,4.87
DR2006,2025-11-21,7.07
DR2006,2025-11-22,5.99
DR2006,2025-11-23,4.23
DR2006,2025-11-24,4.41
DR2006,2025-11-25,7.69
DR2006,2025-11-26,3.68
DR2006,2025-11-27,7.21
DR2006,2025-11-28,4.95
DR2006,2025-11-29,4.04
DR2006,2025-11-30,5.37
DR2006,2025-12-01,7.11
DR2006,2025-12-02,6.12
DR2006,2025-12-03,5.47
DR2006,2025-12-04,3.87
DR2006,2025-12-05,7.83
DR2006,2025-12-06,4.83
DR2006,2025-12-07,6.97
DR2006,2025-12-08,6.36
DR2006,2025-12-09,4.74
DR2006,2025-12-10,3.82
DR2006,2025-12-11,4.04
DR2006,2025-12-12,6.16
DR2006,2025-12-13,7.49
DR2006,2025-12-14,7.1
DR2006,2025-12-15,6.38
DR2006,2025-12-16,7.45
DR2006,2025-12-17,4.09
DR2006,2025-12-18,5.48
DR2006,2025-12-19,4.99
DR2006,2025-12-20,7.43
DR2006,2025-12-21,6.45
DR2006,2025-12-22,5.94
DR2006,2025-12-23,4.96
DR2006,2025-12-24,4.71
DR2006,2025-12-25,3.26
DR2006,2025-12-26,6.47
DR2006,2025-12-27,5.37
DR2006,2025-12-28,4.72
DR2006,2025-12-29,3.84
DR2006,2025-12-30,4.41
DR2006,2025-12-31,5.25
DR2006,2026-01-01,7.84
DR2006,2026-01-02,3.91
DR2006,2026-01-03,6.17
DR2006,2026-01-04,5.32
DR2006,2026-01-05,5.53
DR2006,2026-01-06,4.12
DR2006,2026-01-07,3.25
DR2006,2026-01-08,5.33
DR2006,2026-01-09,7.49
DR2006,2026-01-10,5.15
DR2006,2026-01-11,5.81
DR2006,2026-01-12,5.12
DR2006,2026-01-13,4.07
DR2006,2026-01-14,6.82
DR2006,2026-01-15,6.18
DR2006,2026-01-16,4.63
DR2006,2026-01-17,6.12
DR2006,2026-01-18,5.98
DR2006,2026-01-19,7.31
DR2006,2026-01-20,3.38
DR2006,2026-01-21,4.2
DR2006,2026-01-22,6.66
DR2006,2026-01-23,4.02
DR2006,2026-01-24,7.82
DR2006,2026-01-25,3.73
DR2006,2026-01-26,5.07
DR2006,2026-01-27,5.76
DR2006,2026-01-28,4.24
DR2006,2026-01-29,3.53
DR2006,2026-01-30,6.25
DR2006,2026-01-31,6.89
DR2006,2026-02-01,4.66
DR2006,2026-02-02,3.32
DR2006,2026-02-03,6.65
DR2006,2026-02-04,6.06
DR2007,2025-11-06,7.58
DR2007,2025-11-07,6.13
DR2007,2025-11-08,5.04
DR2007,2025-11-09,3.29
DR2007,2025-11-10,7.18
DR2007,2025-11-11,6.79
DR2007,2025-11-12,4.55
DR2007,2025-11-13,4.64
DR2007,2025-11-14,7.91
DR2007,2025-11-15,4.5
DR2007,2025-11-16,4.06
DR2007,2025-11-17,3.81
DR2007,2025-11-18,4.27
DR2007,2025-11-19,4.77
DR2007,2025-11-20,5.13
DR2007,2025-11-21,6.6
DR2007,2025-11-22,3.85
DR2007,2025-11-23,6.05
DR2007,2025-11-24,7.88
DR2007,2025-11-25,7.53
DR2007,2025-11-26,3.59
DR2007,2025-11-27,5.54
DR2007,2025-11-28,4.64
DR2007,2025-11-29,7.71
DR2007,2025-11-30,5.65
DR2007,2025-12-01,5.15
DR2007,2025-12-02,5.19
DR2007,2025-12-03,4.36
DR2007,2025-12-04,5.79
DR2007,2025-12-05,3.42
DR2007,2025-12-06,5.79
DR2007,2025-12-07,5.08
DR2007,2025-12-08,3.36
DR2007,2025-12-09,3.23
DR2007,2025-12-10,7.74
DR2007,2025-12-11,7.26
DR2007,2025-12-12,4.3
DR2007,2025-12-13,6.42
DR2007,2025-12-14,3.7
DR2007,2025-12-15,5.0
DR2007,2025-12-16,4.12
DR2007,2025-12-17,5.3
DR2007,2025-12-18,5.23
DR2007,2025-12-19,7.37
DR2007,2025-12-20,7.42
DR2007,2025-12-21,3.36
DR2007,2025-12-22,6.43
DR2007,2025-12-23,4.46
DR2007,2025-12-24,5.11
DR2007,2025-12-25,7.64
DR2007,2025-12-26,3.57
DR2007,2025-12-27,7.45
DR2007,2025-12-28,5.34
DR2007,2025-12-29,6.04
DR2007,2025-12-30,5.11
DR2007,2025-12-31,6.88
DR2007,2026-01-01,5.22
DR2007,2026-01-02,3.44
DR2007,2026-01-03,5.77
DR2007,2026-01-04,6.12
DR2007,2026-01-05,5.53
DR2007,2026-01-06,7.99
DR2007,2026-01-07,5.63
DR2007,2026-01-08,4.74
DR2007,2026-01-09,7.46
DR2007,2026-01-10,6.03
DR2007,2026-01-11,6.4
DR2007,2026-01-12,7.97
DR2007,2026-01-13,7.68
DR2007,2026-01-14,7.23
DR2007,2026-01-15,5.24
DR2007,2026-01-16,5.21
DR2007,2026-01-17,6.25
DR2007,2026-01-18,6.19
DR2007,2026-01-19,4.78
DR2007,2026-01-20,3.7
DR2007,2026-01-21,5.84
DR2007,2026-01-22,6.8
DR2007,2026-01-23,5.64
DR2007,2026-01-24,5.34
DR2007,2026-01-25,6.29
DR2007,2026-01-26,6.58
DR2007,2026-01-27,4.13
DR2007,2026-01-28,4.07
DR2007,2026-01-29,5.48
DR2007,2026-01-30,5.37
DR2007,2026-01-31,5.64
DR2007,2026-02-01,4.75
DR2007,2026-02-02,4.73
DR2007,2026-02-03,4.57
DR2007,2026-02-04,5.49
DR2008,2025-11-06,7.28
DR2008,2025-11-07,3.73
DR2008,2025-11-08,3.81
DR2008,2025-11-09,7.76
DR2008,2025-11-10,7.89
DR2008,2025-11-11,7.58
DR2008,2025-11-12,6.58
DR2008,2025-11-13,6.34
DR2008,2025-11-14,4.63
DR2008,2025-11-15,6.52
DR2008,2025-11-16,5.62
DR2008,2025-11-17,5.84
DR2008,2025-11-18,7.67
DR2008,2025-11-19,7.48
DR2008,2025-11-20,8.62
DR2008,2025-11-21,8.21
DR2008,2025-11-22,7.41
DR2008,2025-11-23,5.26
DR2008,2025-11-24,8.86
DR2008,2025-11-25,3.98
DR2008,2025-11-26,8.05
DR2008,2025-11-27,5.9
DR2008,2025-11-28,4.41
DR2008,2025-11-29,6.05
DR2008,2025-11-30,8.53
DR2008,2025-12-01,8.62
DR2008,2025-12-02,5.46
DR2008,2025-12-03,8.7
DR2008,2025-12-04,5.67
DR2008,2025-12-05,5.7
DR2008,2025-12-06,8.39
DR2008,2025-12-07,6.97
DR2008,2025-12-08,6.5
DR2008,2025-12-09,6.52
DR2008,2025-12-10,8.04
DR2008,2025-12-11,4.28
DR2008,2025-12-12,8.93
DR2008,2025-12-13,6.77
DR2008,2025-12-14,3.74
DR2008,2025-12-15,6.61
DR2008,2025-12-16,4.98
DR2008,2025-12-17,4.89
DR2008,2025-12-18,4.15
DR2008,2025-12-19,7.48
DR2008,2025-12-20,7.76
DR2008,2025-12-21,8.63
DR2008,2025-12-22,8.6
DR2008,2025-12-23,3.81
DR2008,2025-12-24,8.87
DR2008,2025-12-25,5.77
DR2008,2025-12-26,5.27
DR2008,2025-12-27,7.81
DR2008,2025-12-28,8.26
DR2008,2025-12-29,4.89
DR2008,2025-12-30,5.41
DR2008,2025-12-31,7.35
DR2008,2026-01-01,6.51
DR2008,2026-01-02,6.38
DR2008,2026-01-03,4.69
DR2008,2026-01-04,7.93
DR2008,2026-01-05,4.82
DR2008,2026-01-06,4.08
DR2008,2026-01-07,6.74
DR2008,2026-01-08,7.11
DR2008,2026-01-09,5.53
DR2008,2026-01-10,5.14
DR2008,2026-01-11,5.35
DR2008,2026-01-12,6.72
DR2008,2026-01-13,4.49
DR2008,2026-01-14,7.93
DR2008,2026-01-15,8.79
DR2008,2026-01-16,4.54
DR2008,2026-01-17,3.64
DR2008,2026-01-18,8.66
DR2008,2026-01-19,5.73
DR2008,2026-01-20,5.95
DR2008,2026-01-21,4.72
DR2008,2026-01-22,6.3
DR2008,2026-01-23,6.02
DR2008,2026-01-24,7.37
DR2008,2026-01-25,4.07
DR2008,2026-01-26,6.66
DR2008,2026-01-27,3.72
DR2008,2026-01-28,8.16
DR2008,2026-01-29,8.64
DR2008,2026-01-30,3.6
DR2008,2026-01-31,3.71
DR2008,2026-02-01,8.44
DR2008,2026-02-02,7.64
DR2008,2026-02-03,5.76
DR2008,2026-02-04,8.19
DR2009,2025-11-06,5.44
DR2009,2025-11-07,3.26
DR2009,2025-11-08,6.64
DR2009,2025-11-09,7.16
DR2009,2025-11-10,7.02
DR2009,2025-11-11,4.68
DR2009,2025-11-12,6.2
DR2009,2025-11-13,6.58
DR2009,2025-11-14,7.49
DR2009,2025-11-15,5.08
DR2009,2025-11-16,7.87
DR2009,2025-11-17,7.78
DR2009,2025-11-18,6.53
DR2009,2025-11-19,6.94
DR2009,2025-11-20,4.86
DR2009,2025-11-21,3.91
DR2009,2025-11-22,6.71
DR2009,2025-11-23,6.86
DR2009,2025-11-24,7.68
DR2009,2025-11-25,3.98
DR2009,2025-11-26,3.5
DR2009,2025-11-27,3.61
DR2009,2025-11-28,3.84
DR2009,2025-11-29,7.41
DR2009,2025-11-30,3.76
DR2009,2025-12-01,7.79
DR2009,2025-12-02,4.97
DR2009,2025-12-03,5.39
DR2009,2025-12-04,7.94
DR2009,2025-12-05,7.9
DR2009,2025-12-06,3.95
DR2009,2025-12-07,5.51
DR2009,2025-12-08,7.8
DR2009,2025-12-09,5.43
DR2009,2025-12-10,5.1
DR2009,2025-12-11,5.09
DR2009,2025-12-12,3.76
DR2009,2025-12-13,4.0
DR2009,2025-12-14,3.85
DR2009,2025-12-15,6.81
DR2009,2025-12-16,4.11
DR2009,2025-12-17,5.75
DR2009,2025-12-18,3.73
DR2009,2025-12-19,6.41
DR2009,2025-12-20,6.87
DR2009,2025-12-21,5.48
DR2009,2025-12-22,6.47
DR2009,2025-12-23,3.75
DR2009,2025-12-24,5.41
DR2009,2025-12-25,7.61
DR2009,2025-12-26,4.61
DR2009,2025-12-27,5.1
DR2009,2025-12-28,5.79
DR2009,2025-12-29,4.62
